▶️┃央视,#genre#

CCTV-1 综合,http://171.223.215.229:4000/udp/239.93.0.184:5140
CCTV-2 财经,http://202.103.213.192:8888/udp/239.81.0.115:4056
CCTV-3 综艺,http://171.223.215.229:4000/udp/239.93.1.11:2223
CCTV-3 综艺,http://202.103.213.192:8888/udp/239.81.0.231:4056
CCTV-4 国际,http://202.103.213.192:8888/udp/239.81.0.96:4056
CCTV-5 体育,http://171.223.215.229:4000/udp/239.93.1.12:2224
CCTV-5 体育,http://202.103.213.192:8888/udp/239.81.0.232:4056
CCTV-5+赛事,http://202.103.213.192:8888/udp/239.81.0.101:4056
CCTV-6 电影,http://171.223.215.229:4000/udp/239.93.1.13:2226
CCTV-6 电影,http://202.103.213.192:8888/udp/239.81.0.233:4056
CCTV-7 军事,http://202.103.213.192:8888/udp/239.81.0.116:4056
CCTV-8 剧场,http://171.223.215.229:4000/udp/239.93.42.39:5140
CCTV-8 剧场,http://202.103.213.192:8888/udp/239.81.0.234:4056
CCTV-9 记录,http://202.103.213.192:8888/udp/239.81.0.117:4056
CCTV-10科教,http://202.103.213.192:8888/udp/239.81.0.118:4056
CCTV-11戏曲,http://202.103.213.192:8888/udp/239.81.0.229:4056
CCTV-12法律,http://202.103.213.192:8888/udp/239.81.0.119:4056
CCTV-13新闻,http://202.103.213.192:8888/udp/239.81.0.206:4056
CCTV-14少儿,http://202.103.213.192:8888/udp/239.81.0.120:4056
CCTV-15音乐,http://202.103.213.192:8888/udp/239.81.0.230:4056
CCTV-16奥运,http://202.103.213.192:8888/udp/239.81.0.142:4056
CCTV-17农业,http://202.103.213.192:8888/udp/239.81.0.228:4056
CCTV央视台球,http://110.178.52.190:8085/udp/239.1.1.100:8100
CCTV风云足球,http://110.178.52.190:8085/udp/239.1.1.101:8101
CCTV高尔夫网球,http://110.178.52.190:8085/udp/239.1.1.102:8102
CCTV女性时尚,http://110.178.52.190:8085/udp/239.1.1.89:8089
CCTV风云音乐,http://110.178.52.190:8085/udp/239.1.1.96:8096
CCTV风云剧场,http://110.178.52.190:8085/udp/239.1.1.93:8093
CCTV第一剧场,http://110.178.52.190:8085/udp/239.1.1.94:8094
CCTV怀旧剧场,http://110.178.52.190:8085/udp/239.1.1.95:8095
CCTV兵器科技,http://110.178.52.190:8085/udp/239.1.1.97:8097
CCTV世界地理,http://110.178.52.190:8085/udp/239.1.1.99:8099
CCTV央视文化精品,http://110.178.52.190:8085/udp/239.1.1.91:8091
CCTV-1,https://cdn2.jdshipin.com/api/bst2.php?id=cctv1hd8m/8000000
